N,Beta_noise,Serie,Skewness_2,Kurtosis,Alfa,Beta_PSD,Psi
8192,2,6,0.028589697706147766,-0.7202921931695667,1.5507558074157328,-1.8118727901479077,0.3763647210872209
8192,2,7,0.05482677309369318,-0.6239965380264176,1.4779797225467792,-1.828496020141079,0.37922907837023495
8192,2,8,0.04497626099576413,-0.9818746220300771,1.4569628420572458,-1.9338277285625218,0.422725831559817
8192,2,9,0.08811425574252772,-0.5309380106184967,1.4669890101815233,-1.9844321186072618,0.3498334836281068
8192,2,10,0.02241556983109321,-0.704920775357778,1.4914193993760954,-2.2130067477036195,0.3578968497183137
8192,2,11,0.1201886662510842,-0.43441265363796777,1.4799831767762173,-2.06767628333684,0.36258384829523643
8192,2,12,0.2255988824838419,-1.0760664723274387,1.5134513837813586,-1.9694771417322954,0.403805459981121
8192,2,13,0.012193373425726206,-0.762270127094264,1.466770639149766,-1.8310771233623506,0.36371655379749307
8192,2,14,0.45651972766471205,0.08551804201705293,1.41596135906825,-1.874077786243491,0.37297772044205885
8192,2,15,0.44009482417207846,0.15484471514340958,1.451149527223574,-2.1212032261491762,0.3892870575618761
8192,2,16,0.009479815285910064,-0.7742747656742379,1.4603931310412965,-1.9686368113516828,0.3684863364630562
8192,2,17,0.14628994221521913,-0.7960173348294646,1.4430471416662634,-1.9914593339316078,0.3656746704220341
8192,2,18,0.15619030251064306,-0.913839829834453,1.528134296378714,-2.000051864122493,0.39769185939533974
8192,2,19,0.3515197638882824,-1.086094821314744,1.521291578195061,-2.1769391866655625,0.3410364745959751
8192,2,20,0.03985790229169938,-1.0907583610773295,1.4897280509834911,-1.6125958286655622,0.3885166620982554
